actual,T11-Textual Differing-uw.star.rts.technique.TextualDifference_Source_precision,T11-CoverageAnalysisCost(ms),T11-ChangeAnalysisCost(ms),T11-ApplyTechniqueCost(ms),T11-TestExecutionCost(ms),T11-Textual Differing-uw.star.rts.technique.TextualDifference_Statement_precision,T11-CoverageAnalysisCost(ms),T11-ChangeAnalysisCost(ms),T11-ApplyTechniqueCost(ms),T11-TestExecutionCost(ms)
jtopas-v0,1.0,-1,-1,-1,-1,1.0,-1,-1,-1,-1
jtopas-v1,1.0,585,189,0,-1,0.8571428571428571,3210,95,0,-1
jtopas-v2,1.0,588,74,0,-1,1.0,4526,70,0,-1
jtopas-v3,0.7272727272727273,652,73,0,-1,0.7272727272727273,5838,59,1,-1
apache-ant-v0,1.0,-1,-1,-1,-1,1.0,-1,-1,-1,-1
apache-ant-v1,0.9285714285714286,4546,592,1,-1,0.8928571428571429,73831,509,105,-1
apache-ant-v2,0.9411764705882353,9967,217,0,-1,0.8823529411764706,158417,192,263,-1
apache-ant-v3,0.6923076923076923,18318,137,1,-1,0.6346153846153846,343453,141,27,-1
apache-ant-v4,0.8846153846153846,19418,424,2,-1,0.8846153846153846,323155,377,1136,-1
apache-ant-v5,0.8811881188118812,72792,546,2,-1,0.7920792079207921,1227212,580,283,-1
apache-ant-v6,0.6730769230769231,99900,154,0,-1,0.04807692307692308,1258964,314,17,-1
apache-ant-v7,0.9333333333333333,78746,1346,5,-1,0.9047619047619048,1353054,1581,1876,-1
apache-ant-v8,0.7066666666666667,177444,264,0,-1,0.13333333333333333,2647763,292,52,-1
jakarta-jmeter-v0,1.0,-1,-1,-1,-1,1.0,-1,-1,-1,-1
jakarta-jmeter-v1,1.0,7798,369,1,-1,0.7619047619047619,110023,577,326,-1
jakarta-jmeter-v2,0.9565217391304348,9425,515,1,-1,0.043478260869565216,131238,970,201,-1
jakarta-jmeter-v3,0.84,9311,550,1,-1,0.76,141768,940,1315,-1
jakarta-jmeter-v4,0.9642857142857143,16476,561,0,-1,0.9285714285714286,171908,885,79,-1
jakarta-jmeter-v5,1.0,23817,667,1,-1,0.9285714285714286,171232,898,165,-1
apache-xml-security-v0,1.0,-1,-1,-1,-1,1.0,-1,-1,-1,-1
apache-xml-security-v1,1.0,8937,228,0,-1,1.0,77525,265,70,-1
apache-xml-security-v2,1.0,8234,1167,1,-1,1.0,54556,752,61,-1
apache-xml-security-v3,0.8666666666666667,4493,159,0,-1,0.8,86707,311,213,-1
